,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,AIR_TIME_MEAN
0,ATL,"Atlanta, GA",ATL,"Atlanta, GA",45.0
1,ATL,"Atlanta, GA",BOS,"Boston, MA",6002.21
2,ATL,"Atlanta, GA",CLT,"Charlotte, NC",1481.41
3,ATL,"Atlanta, GA",DEN,"Denver, CO",7305.19
4,ATL,"Atlanta, GA",DFW,"Dallas/Fort Worth, TX",8133.17
5,ATL,"Atlanta, GA",DTW,"Detroit, MI",2285.96
6,ATL,"Atlanta, GA",EWR,"Newark, NJ",3795.96
7,ATL,"Atlanta, GA",IAH,"Houston, TX",3210.57
8,ATL,"Atlanta, GA",JFK,"New York, NY",2409.05
9,ATL,"Atlanta, GA",LAS,"Las Vegas, NV",15257.25
10,ATL,"Atlanta, GA",LAX,"Los Angeles, CA",15655.87
11,ATL,"Atlanta, GA",LGA,"New York, NY",9760.01
12,ATL,"Atlanta, GA",MCO,"Orlando, FL",3770.13
13,ATL,"Atlanta, GA",MIA,"Miami, FL",4034.89
14,ATL,"Atlanta, GA",MSP,"Minneapolis, MN",5181.17
15,ATL,"Atlanta, GA",ORD,"Chicago, IL",3693.83
16,ATL,"Atlanta, GA",PHL,"Philadelphia, PA",3609.92
17,ATL,"Atlanta, GA",PHX,"Phoenix, AZ",9150.03
18,ATL,"Atlanta, GA",SEA,"Seattle, WA",10956.95
19,ATL,"Atlanta, GA",SFO,"San Francisco, CA",17638.23
20,BOS,"Boston, MA",ATL,"Atlanta, GA",6537.53
21,BOS,"Boston, MA",BOS,"Boston, MA",37.33
22,BOS,"Boston, MA",CLT,"Charlotte, NC",4329.68
23,BOS,"Boston, MA",DEN,"Denver, CO",9102.49
24,BOS,"Boston, MA",DFW,"Dallas/Fort Worth, TX",11139.04
25,BOS,"Boston, MA",DTW,"Detroit, MI",2239.42
26,BOS,"Boston, MA",EWR,"Newark, NJ",1718.47
27,BOS,"Boston, MA",IAH,"Houston, TX",7464.39
28,BOS,"Boston, MA",JFK,"New York, NY",1895.33
29,BOS,"Boston, MA",LAS,"Las Vegas, NV",8357.09
30,BOS,"Boston, MA",LAX,"Los Angeles, CA",11722.77
31,BOS,"Boston, MA",LGA,"New York, NY",4771.3
32,BOS,"Boston, MA",MCO,"Orlando, FL",6782.67
33,BOS,"Boston, MA",MIA,"Miami, FL",13629.84
34,BOS,"Boston, MA",MSP,"Minneapolis, MN",3788.92
35,BOS,"Boston, MA",ORD,"Chicago, IL",8513.02
36,BOS,"Boston, MA",PHL,"Philadelphia, PA",3069.78
37,BOS,"Boston, MA",PHX,"Phoenix, AZ",11695.33
38,BOS,"Boston, MA",SEA,"Seattle, WA",11812.61
39,BOS,"Boston, MA",SFO,"San Francisco, CA",19346.3
40,CLT,"Charlotte, NC",ATL,"Atlanta, GA",1497.38
41,CLT,"Charlotte, NC",BOS,"Boston, MA",4181.03
42,CLT,"Charlotte, NC",CLT,"Charlotte, NC",67.8
43,CLT,"Charlotte, NC",DEN,"Denver, CO",9563.09
44,CLT,"Charlotte, NC",DFW,"Dallas/Fort Worth, TX",8466.78
45,CLT,"Charlotte, NC",DTW,"Detroit, MI",1746.52
46,CLT,"Charlotte, NC",EWR,"Newark, NJ",3189.84
47,CLT,"Charlotte, NC",IAH,"Houston, TX",6246.8
48,CLT,"Charlotte, NC",JFK,"New York, NY",3073.29
49,CLT,"Charlotte, NC",LAS,"Las Vegas, NV",14702.67
50,CLT,"Charlotte, NC",LAX,"Los Angeles, CA",16659.45
51,CLT,"Charlotte, NC",LGA,"New York, NY",4331.87
52,CLT,"Charlotte, NC",MCO,"Orlando, FL",2460.27
53,CLT,"Charlotte, NC",MIA,"Miami, FL",5469.16
54,CLT,"Charlotte, NC",MSP,"Minneapolis, MN",3198.52
55,CLT,"Charlotte, NC",ORD,"Chicago, IL",3872.14
56,CLT,"Charlotte, NC",PHL,"Philadelphia, PA",1833.63
57,CLT,"Charlotte, NC",PHX,"Phoenix, AZ",16979.18
58,CLT,"Charlotte, NC",SEA,"Seattle, WA",8062.5
59,CLT,"Charlotte, NC",SFO,"San Francisco, CA",18522.93
60,DEN,"Denver, CO",ATL,"Atlanta, GA",6128.96
61,DEN,"Denver, CO",BOS,"Boston, MA",7565.83
62,DEN,"Denver, CO",CLT,"Charlotte, NC",7705.44
63,DEN,"Denver, CO",DEN,"Denver, CO",122.39
64,DEN,"Denver, CO",DFW,"Dallas/Fort Worth, TX",3745.93
65,DEN,"Denver, CO",DTW,"Detroit, MI",3813.86
66,DEN,"Denver, CO",EWR,"Newark, NJ",5617.84
67,DEN,"Denver, CO",IAH,"Houston, TX",3506.48
68,DEN,"Denver, CO",JFK,"New York, NY",3856.89
69,DEN,"Denver, CO",LAS,"Las Vegas, NV",4600.33
