,Year,quarter,Departure,Arrival,miles_distance,daily_passengers,average_fare,DEP,ARR
0,2011,1,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,1671,215.75,ATL,BOS
1,2011,2,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,2295,218.02,ATL,BOS
2,2011,3,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,2335,208.31,ATL,BOS
3,2011,4,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,2117,227.89,ATL,BOS
4,2012,1,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,1704,235.04,ATL,BOS
5,2012,2,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,2335,226.73,ATL,BOS
6,2012,3,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,2437,196.87,ATL,BOS
7,2012,4,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,2255,203.29,ATL,BOS
8,2013,1,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,1784,212.29,ATL,BOS
9,2013,2,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,2477,216.5,ATL,BOS
10,2013,3,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,2386,229.48,ATL,BOS
11,2013,4,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,2392,222.41,ATL,BOS
12,2011,1,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",227,392,151.95,ATL,CLT
13,2011,2,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",227,430,170.7,ATL,CLT
14,2011,3,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",226,381,171.73,ATL,CLT
15,2011,4,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",226,370,165.83,ATL,CLT
