,Year,quarter,Departure,Arrival,miles_distance,daily_passengers,average_fare,DEP,ARR
0,2011,3,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,2335,208.31,ATL,BOS
1,2011,4,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,2117,227.89,ATL,BOS
2,2012,1,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,1704,235.04,ATL,BOS
3,2012,2,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,2335,226.73,ATL,BOS
4,2012,3,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,2437,196.87,ATL,BOS
5,2012,4,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,2255,203.29,ATL,BOS
6,2013,1,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,1784,212.29,ATL,BOS
7,2013,2,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,2477,216.5,ATL,BOS
8,2011,3,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",226,381,171.73,ATL,CLT
9,2011,4,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",226,370,165.83,ATL,CLT
10,2012,1,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",226,399,176.71,ATL,CLT
11,2012,2,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",226,438,151.17,ATL,CLT
12,2012,3,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",226,436,136.41,ATL,CLT
13,2012,4,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",226,456,133.28,ATL,CLT
14,2013,1,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",226,486,132.64,ATL,CLT
15,2013,2,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",226,366,204.49,ATL,CLT
16,2011,3,"Atlanta, GA (Metropolitan Area)","Chicago, IL",606,3080,170.34,ATL,ORD
17,2011,4,"Atlanta, GA (Metropolitan Area)","Chicago, IL",606,2746,193.12,ATL,ORD
18,2012,1,"Atlanta, GA (Metropolitan Area)","Chicago, IL",606,2537,174.84,ATL,ORD
19,2012,2,"Atlanta, GA (Metropolitan Area)","Chicago, IL",606,3428,165.05,ATL,ORD
20,2012,3,"Atlanta, GA (Metropolitan Area)","Chicago, IL",606,3170,172.4,ATL,ORD
21,2012,4,"Atlanta, GA (Metropolitan Area)","Chicago, IL",606,3061,171.69,ATL,ORD
22,2013,1,"Atlanta, GA (Metropolitan Area)","Chicago, IL",606,2562,173.66,ATL,ORD
23,2013,2,"Atlanta, GA (Metropolitan Area)","Chicago, IL",606,3329,182.42,ATL,ORD
24,2011,3,"Atlanta, GA (Metropolitan Area)","Dallas/Fort Worth, TX",731,2246,197.85,ATL,DFW
25,2011,4,"Atlanta, GA (Metropolitan Area)","Dallas/Fort Worth, TX",731,2088,220.15,ATL,DFW
26,2012,1,"Atlanta, GA (Metropolitan Area)","Dallas/Fort Worth, TX",731,2024,250.91,ATL,DFW
27,2012,2,"Atlanta, GA (Metropolitan Area)","Dallas/Fort Worth, TX",731,2268,239.65,ATL,DFW
28,2012,3,"Atlanta, GA (Metropolitan Area)","Dallas/Fort Worth, TX",731,2145,228.35,ATL,DFW
29,2012,4,"Atlanta, GA (Metropolitan Area)","Dallas/Fort Worth, TX",731,2272,216.52,ATL,DFW
30,2013,1,"Atlanta, GA (Metropolitan Area)","Dallas/Fort Worth, TX",731,2196,226.43,ATL,DFW
31,2013,2,"Atlanta, GA (Metropolitan Area)","Dallas/Fort Worth, TX",731,2365,232.82,ATL,DFW
32,2011,3,"Atlanta, GA (Metropolitan Area)","Denver, CO",1199,1555,175.94,ATL,DEN
33,2011,4,"Atlanta, GA (Metropolitan Area)","Denver, CO",1199,1438,195.85,ATL,DEN
34,2012,1,"Atlanta, GA (Metropolitan Area)","Denver, CO",1199,1402,178.55,ATL,DEN
35,2012,2,"Atlanta, GA (Metropolitan Area)","Denver, CO",1199,1585,171.87,ATL,DEN
36,2012,3,"Atlanta, GA (Metropolitan Area)","Denver, CO",1199,1678,160.75,ATL,DEN
37,2012,4,"Atlanta, GA (Metropolitan Area)","Denver, CO",1199,1598,173.18,ATL,DEN
38,2013,1,"Atlanta, GA (Metropolitan Area)","Denver, CO",1199,1587,169.3,ATL,DEN
39,2013,2,"Atlanta, GA (Metropolitan Area)","Denver, CO",1199,1729,182.22,ATL,DEN
40,2011,3,"Atlanta, GA (Metropolitan Area)","Detroit, MI",594,1252,184.39,ATL,DTW
41,2011,4,"Atlanta, GA (Metropolitan Area)","Detroit, MI",594,1123,204.87,ATL,DTW
42,2012,1,"Atlanta, GA (Metropolitan Area)","Detroit, MI",594,913,229.27,ATL,DTW
43,2012,2,"Atlanta, GA (Metropolitan Area)","Detroit, MI",594,1277,200.35,ATL,DTW
44,2012,3,"Atlanta, GA (Metropolitan Area)","Detroit, MI",594,1225,186.37,ATL,DTW
45,2012,4,"Atlanta, GA (Metropolitan Area)","Detroit, MI",594,1197,196.94,ATL,DTW
46,2013,1,"Atlanta, GA (Metropolitan Area)","Detroit, MI",594,943,211.14,ATL,DTW
47,2013,2,"Atlanta, GA (Metropolitan Area)","Detroit, MI",594,1328,219.69,ATL,DTW
48,2011,3,"Atlanta, GA (Metropolitan Area)","Houston, TX",696,1373,203.41,ATL,IAH
49,2011,4,"Atlanta, GA (Metropolitan Area)","Houston, TX",696,1417,211.15,ATL,IAH
50,2012,1,"Atlanta, GA (Metropolitan Area)","Houston, TX",696,1454,204.08,ATL,IAH
51,2012,2,"Atlanta, GA (Metropolitan Area)","Houston, TX",696,1743,192.26,ATL,IAH
52,2012,3,"Atlanta, GA (Metropolitan Area)","Houston, TX",696,1612,176.59,ATL,IAH
53,2012,4,"Atlanta, GA (Metropolitan Area)","Houston, TX",696,1716,174.66,ATL,IAH
54,2013,1,"Atlanta, GA (Metropolitan Area)","Houston, TX",696,1588,185.98,ATL,IAH
55,2013,2,"Atlanta, GA (Metropolitan Area)","Houston, TX",696,1726,207.42,ATL,IAH
56,2011,3,"Atlanta, GA (Metropolitan Area)","Las Vegas, NV",1747,1274,230.24,ATL,LAS
57,2011,4,"Atlanta, GA (Metropolitan Area)","Las Vegas, NV",1747,1274,239.82,ATL,LAS
58,2012,1,"Atlanta, GA (Metropolitan Area)","Las Vegas, NV",1747,1414,241.58,ATL,LAS
59,2012,2,"Atlanta, GA (Metropolitan Area)","Las Vegas, NV",1747,1519,234.42,ATL,LAS
