,Year,quarter,miles_distance,daily_passengers,average_fare,DEP,ARR,ROUTE
0,2011,3,952,2335,208.31,ATL,BOS,ATLBOS
1,2011,4,952,2117,227.89,ATL,BOS,ATLBOS
2,2012,1,952,1704,235.04,ATL,BOS,ATLBOS
3,2012,2,952,2335,226.73,ATL,BOS,ATLBOS
4,2012,3,952,2437,196.87,ATL,BOS,ATLBOS
5,2012,4,952,2255,203.29,ATL,BOS,ATLBOS
6,2013,1,952,1784,212.29,ATL,BOS,ATLBOS
7,2011,3,226,381,171.73,ATL,CLT,ATLCLT
8,2011,4,226,370,165.83,ATL,CLT,ATLCLT
9,2012,1,226,399,176.71,ATL,CLT,ATLCLT
10,2012,2,226,438,151.17,ATL,CLT,ATLCLT
11,2012,3,226,436,136.41,ATL,CLT,ATLCLT
12,2012,4,226,456,133.28,ATL,CLT,ATLCLT
13,2013,1,226,486,132.64,ATL,CLT,ATLCLT
14,2011,3,606,3080,170.34,ATL,ORD,ATLORD
15,2011,4,606,2746,193.12,ATL,ORD,ATLORD
16,2012,1,606,2537,174.84,ATL,ORD,ATLORD
17,2012,2,606,3428,165.05,ATL,ORD,ATLORD
18,2012,3,606,3170,172.4,ATL,ORD,ATLORD
19,2012,4,606,3061,171.69,ATL,ORD,ATLORD
20,2013,1,606,2562,173.66,ATL,ORD,ATLORD
21,2011,3,731,2246,197.85,ATL,DFW,ATLDFW
22,2011,4,731,2088,220.15,ATL,DFW,ATLDFW
23,2012,1,731,2024,250.91,ATL,DFW,ATLDFW
24,2012,2,731,2268,239.65,ATL,DFW,ATLDFW
25,2012,3,731,2145,228.35,ATL,DFW,ATLDFW
26,2012,4,731,2272,216.52,ATL,DFW,ATLDFW
27,2013,1,731,2196,226.43,ATL,DFW,ATLDFW
28,2011,3,1199,1555,175.94,ATL,DEN,ATLDEN
29,2011,4,1199,1438,195.85,ATL,DEN,ATLDEN
30,2012,1,1199,1402,178.55,ATL,DEN,ATLDEN
31,2012,2,1199,1585,171.87,ATL,DEN,ATLDEN
32,2012,3,1199,1678,160.75,ATL,DEN,ATLDEN
33,2012,4,1199,1598,173.18,ATL,DEN,ATLDEN
34,2013,1,1199,1587,169.3,ATL,DEN,ATLDEN
35,2011,3,594,1252,184.39,ATL,DTW,ATLDTW
36,2011,4,594,1123,204.87,ATL,DTW,ATLDTW
37,2012,1,594,913,229.27,ATL,DTW,ATLDTW
38,2012,2,594,1277,200.35,ATL,DTW,ATLDTW
39,2012,3,594,1225,186.37,ATL,DTW,ATLDTW
40,2012,4,594,1197,196.94,ATL,DTW,ATLDTW
41,2013,1,594,943,211.14,ATL,DTW,ATLDTW
42,2011,3,696,1373,203.41,ATL,IAH,ATLIAH
43,2011,4,696,1417,211.15,ATL,IAH,ATLIAH
44,2012,1,696,1454,204.08,ATL,IAH,ATLIAH
45,2012,2,696,1743,192.26,ATL,IAH,ATLIAH
46,2012,3,696,1612,176.59,ATL,IAH,ATLIAH
47,2012,4,696,1716,174.66,ATL,IAH,ATLIAH
48,2013,1,696,1588,185.98,ATL,IAH,ATLIAH
49,2011,3,1747,1274,230.24,ATL,LAS,ATLLAS
50,2011,4,1747,1274,239.82,ATL,LAS,ATLLAS
51,2012,1,1747,1414,241.58,ATL,LAS,ATLLAS
52,2012,2,1747,1519,234.42,ATL,LAS,ATLLAS
53,2012,3,1747,1237,237.96,ATL,LAS,ATLLAS
54,2012,4,1747,1236,240.79,ATL,LAS,ATLLAS
55,2013,1,1747,1363,246.87,ATL,LAS,ATLLAS
56,2011,3,1946,2761,250.1,ATL,LAX,ATLLAX
57,2011,4,1947,2667,256.13,ATL,LAX,ATLLAX
58,2012,1,1947,2339,258.51,ATL,LAX,ATLLAX
59,2012,2,1947,2943,262.96,ATL,LAX,ATLLAX
60,2012,3,1947,2805,251.9,ATL,LAX,ATLLAX
61,2012,4,1947,2664,267.67,ATL,LAX,ATLLAX
62,2013,1,1947,2346,276.97,ATL,LAX,ATLLAX
63,2011,3,594,3115,125.48,ATL,MIA,ATLMIA
64,2011,4,594,3335,125.31,ATL,MIA,ATLMIA
65,2012,1,594,3154,143.94,ATL,MIA,ATLMIA
66,2012,2,594,3461,130.12,ATL,MIA,ATLMIA
67,2012,3,594,3039,124.34,ATL,MIA,ATLMIA
68,2012,4,594,2898,154.4,ATL,MIA,ATLMIA
69,2013,1,594,2875,166.15,ATL,MIA,ATLMIA
70,2011,3,907,1272,205.98,ATL,MSP,ATLMSP
71,2011,4,907,1121,223.22,ATL,MSP,ATLMSP
72,2012,1,907,933,253.81,ATL,MSP,ATLMSP
73,2012,2,907,1148,231.47,ATL,MSP,ATLMSP
74,2012,3,907,1214,208.15,ATL,MSP,ATLMSP
75,2012,4,907,1077,216.15,ATL,MSP,ATLMSP
76,2013,1,907,909,243.33,ATL,MSP,ATLMSP
77,2011,3,795,6033,205.29,ATL,JFK,ATLJFK
78,2011,3,795,6033,205.29,ATL,LGA,ATLLGA
79,2011,3,795,6033,205.29,ATL,EWR,ATLEWR
80,2011,4,795,5891,220.43,ATL,JFK,ATLJFK
81,2011,4,795,5891,220.43,ATL,LGA,ATLLGA
82,2011,4,795,5891,220.43,ATL,EWR,ATLEWR
83,2012,1,795,5016,224.2,ATL,JFK,ATLJFK
84,2012,1,795,5016,224.2,ATL,LGA,ATLLGA
85,2012,1,795,5016,224.2,ATL,EWR,ATLEWR
86,2012,2,795,6590,204.27,ATL,JFK,ATLJFK
87,2012,2,795,6590,204.27,ATL,LGA,ATLLGA
88,2012,2,795,6590,204.27,ATL,EWR,ATLEWR
89,2012,3,795,6702,184.52,ATL,JFK,ATLJFK
90,2012,3,795,6702,184.52,ATL,LGA,ATLLGA
91,2012,3,795,6702,184.52,ATL,EWR,ATLEWR
92,2012,4,795,6536,194.28,ATL,JFK,ATLJFK
93,2012,4,795,6536,194.28,ATL,LGA,ATLLGA
94,2012,4,795,6536,194.28,ATL,EWR,ATLEWR
95,2013,1,795,5447,197.2,ATL,JFK,ATLJFK
96,2013,1,795,5447,197.2,ATL,LGA,ATLLGA
97,2013,1,795,5447,197.2,ATL,EWR,ATLEWR
98,2011,3,404,1306,160.58,ATL,MCO,ATLMCO
99,2011,4,404,1368,167.32,ATL,MCO,ATLMCO
100,2012,1,404,1488,186.2,ATL,MCO,ATLMCO
101,2012,2,404,1554,154.71,ATL,MCO,ATLMCO
102,2012,3,404,1365,142.11,ATL,MCO,ATLMCO
103,2012,4,404,1622,147.71,ATL,MCO,ATLMCO
104,2013,1,404,1687,157.68,ATL,MCO,ATLMCO
105,2011,3,666,2066,174.92,ATL,PHL,ATLPHL
106,2011,4,666,1876,191.17,ATL,PHL,ATLPHL
107,2012,1,666,1564,209.58,ATL,PHL,ATLPHL
108,2012,2,666,2014,182.78,ATL,PHL,ATLPHL
109,2012,3,666,1959,170.34,ATL,PHL,ATLPHL
110,2012,4,666,1838,186.63,ATL,PHL,ATLPHL
111,2013,1,666,1471,206.53,ATL,PHL,ATLPHL
112,2011,3,1587,863,190.23,ATL,PHX,ATLPHX
113,2011,4,1587,973,215.89,ATL,PHX,ATLPHX
