,Date,U.S. Gulf Coast Kerosene-Type Jet Fuel Spot Price FOB (Dollars per Gallon)
0,2011-09-01,"3,088"
1,2011-09-02,"3,038"
2,2011-09-06,"3,043"
3,2011-09-07,"3,05"
4,2011-09-08,"3,018"
5,2011-09-09,"2,962"
6,2011-09-12,"2,938"
7,2011-09-13,"2,922"
8,2011-09-14,"2,937"
9,2011-09-15,"3,019"
10,2011-09-16,"3,002"
11,2011-09-19,"2,938"
12,2011-09-20,"2,946"
13,2011-09-21,"2,919"
14,2011-09-22,"2,853"
15,2011-09-23,"2,827"
16,2011-09-26,"2,86"
17,2011-09-27,"2,928"
18,2011-09-28,"2,877"
19,2011-09-29,"2,894"
20,2011-09-30,"2,844"
21,2011-10-03,"2,815"
22,2011-10-04,"2,838"
23,2011-10-05,"2,835"
24,2011-10-06,"2,916"
25,2011-10-07,"2,881"
26,2011-10-10,"2,911"
27,2011-10-11,"2,889"
28,2011-10-12,"2,917"
29,2011-10-13,"2,972"
30,2011-10-14,"3,056"
31,2011-10-17,"2,986"
32,2011-10-18,"3,01"
33,2011-10-19,"2,982"
34,2011-10-20,"3,028"
35,2011-10-21,"3,01"
36,2011-10-24,"3,036"
37,2011-10-25,"3,025"
38,2011-10-26,"3,006"
39,2011-10-27,"3,088"
40,2011-10-28,"3,051"
41,2011-10-31,"3,028"
42,2011-11-01,"3,011"
43,2011-11-02,"2,991"
44,2011-11-03,"3,036"
45,2011-11-04,"3,067"
46,2011-11-07,"3,114"
47,2011-11-08,"3,119"
48,2011-11-09,"3,095"
49,2011-11-10,"3,131"
50,2011-11-11,"3,178"
51,2011-11-14,"3,158"
52,2011-11-15,"3,156"
53,2011-11-16,"3,086"
54,2011-11-17,"3,052"
55,2011-11-18,"3,019"
56,2011-11-21,"2,964"
57,2011-11-22,"3,005"
58,2011-11-23,"2,936"
59,2011-11-25,"2,914"
60,2011-11-28,"2,939"
61,2011-11-29,"2,991"
62,2011-11-30,"3,001"
63,2011-12-01,"2,969"
64,2011-12-02,"2,968"
65,2011-12-05,"2,941"
66,2011-12-06,"2,977"
67,2011-12-07,"2,943"
68,2011-12-08,"2,867"
69,2011-12-09,"2,841"
70,2011-12-12,"2,824"
71,2011-12-13,"2,854"
72,2011-12-14,"2,761"
73,2011-12-15,"2,749"
74,2011-12-16,"2,768"
75,2011-12-19,"2,739"
76,2011-12-20,"2,829"
77,2011-12-21,"2,874"
78,2011-12-22,"2,91"
79,2011-12-23,"2,885"
80,2011-12-27,"2,894"
81,2011-12-28,"2,891"
82,2011-12-29,"2,93"
83,2011-12-30,"2,917"
84,2012-01-03,"3,04"
85,2012-01-04,"3,1"
86,2012-01-05,"3,06"
87,2012-01-06,"3,102"
88,2012-01-09,"3,134"
89,2012-01-10,"3,168"
90,2012-01-11,"3,136"
91,2012-01-12,"3,1"
92,2012-01-13,"3,095"
93,2012-01-17,"3,079"
94,2012-01-18,"3,076"
95,2012-01-19,"3,093"
96,2012-01-20,"3,045"
97,2012-01-23,"3,055"
98,2012-01-24,"3,07"
99,2012-01-25,"3,062"
100,2012-01-26,"3,082"
101,2012-01-27,"3,1"
102,2012-01-30,"3,068"
103,2012-01-31,"3,079"
104,2012-02-01,"3,079"
105,2012-02-02,"3,085"
