,Date,AirPort,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees,Rank_2018,State,2018,2017,2016,2015,city,lat,lng,population,density,ranking,Fuel_price,Holiday,Month,Year,Quarter,LOAD_FACTOR
0,2011-09-01,ATL,35,29,24,21,18,14,79,56,32,1022,1019,1017,16,16,11,19,6,26.0,0.00,3,,129,1 ,GA,51866464,50251964,50501858,49340732,Atlanta,33.7627,-84.4225,5228750.0,1384.0,1,3088,0,9,2011,3,81.82
1,2011-09-01,ORD,34,28,22,23,22,19,84,70,56,1015,1013,1011,16,15,11,26,9,37.0,0.00,1,,197,3 ,IL,39874879,38593028,37589899,36305668,Chicago,41.8373,-87.6862,8675982.0,4612.0,1,3088,0,9,2011,3,81.82
2,2011-09-01,LAX,21,18,15,14,14,13,90,76,61,1012,1011,1009,16,11,4,23,13,,0.00,5,Fog,265,2 ,CA,42626783,41232432,39636042,36351226,Los Angeles,34.1139,-118.4068,12815475.0,3295.0,1,3088,0,9,2011,3,81.82
3,2011-09-01,DFW,38,33,27,17,14,11,51,35,19,1015,1013,1010,16,16,16,34,14,45.0,0.00,1,,157,4 ,TX,32800721,31816933,31283579,31589832,Dallas,32.7936,-96.7662,5733259.0,1524.0,1,3088,0,9,2011,3,81.82
4,2011-09-01,DEN,36,28,20,5,3,-2,34,22,9,1016,1007,1004,16,16,16,29,15,39.0,0.00,5,,205,5 ,CO,31363573,29809097,28267394,26280043,Denver,39.7621,-104.8759,2787266.0,1774.0,1,3088,0,9,2011,3,81.82
5,2011-09-01,JFK,27,23,19,18,16,12,87,65,42,1023,1022,1020,16,16,16,24,9,29.0,0.00,5,,169,6 ,NY,30541459,29533154,29239151,27782369,New York,40.6943,-73.9249,19354922.0,11083.0,1,3088,0,9,2011,3,81.82
6,2011-09-01,SFO,22,17,12,13,11,9,83,69,55,1012,1010,1008,16,16,16,39,15,45.0,0.00,3,,276,7 ,CA,27794154,26900048,25707101,24190549,San Francisco,37.7562,-122.443,3603761.0,7286.0,1,3088,0,9,2011,3,81.82
7,2011-09-01,CLT,33,26,17,19,18,16,93,66,38,1022,1020,1017,16,16,11,21,5,24.0,0.00,2,,315,12 ,NC,22283574,22011251,21511880,21913166,Charlotte,35.2079,-80.8304,1467362.0,1081.0,1,3088,0,9,2011,3,81.82
8,2011-09-01,LAS,39,33,26,-12,-16,-27,7,4,1,1008,1005,1003,16,16,16,39,24,48.0,0.00,0,,206,9 ,NV,23655285,23364393,22833267,21824231,Las Vegas,36.2333,-115.2654,2073045.0,1747.0,1,3088,0,9,2011,3,81.82
9,2011-09-01,PHX,44,38,32,14,10,2,34,23,11,1008,1004,1001,16,16,16,24,11,34.0,0.00,3,,154,13 ,AZ,21623842,21185458,20896265,21351445,Phoenix,33.5722,-112.0891,4081849.0,1212.0,1,3088,0,9,2011,3,81.82
10,2011-09-01,IAH,39,31,25,24,22,19,82,61,32,1015,1013,1010,16,16,13,27,10,34.0,0.00,2,,77,14 ,TX,21157948,19603731,20062072,20595874,Houston,29.7869,-95.3905,5446468.0,1401.0,1,3088,0,9,2011,3,81.82
11,2011-09-01,MIA,32,29,25,26,24,23,97,83,68,1018,1016,1015,16,16,11,24,6,34.0,3.05,6,Rain,29,15 ,FL,21025210,20709225,20875813,20986341,Miami,25.7839,-80.2102,6381966.0,4969.0,1,3088,0,9,2011,3,81.82
