,Year_route,Quarter_route,miles_distance,daily_passengers,average_fare,ROUTE,AIR_TIME_MEAN
0,2011,3,952,2335,208.31,ATLBOS,6002.21
1,2011,4,952,2117,227.89,ATLBOS,6002.21
2,2012,1,952,1704,235.04,ATLBOS,6002.21
3,2012,2,952,2335,226.73,ATLBOS,6002.21
4,2012,3,952,2437,196.87,ATLBOS,6002.21
5,2012,4,952,2255,203.29,ATLBOS,6002.21
6,2013,1,952,1784,212.29,ATLBOS,6002.21
7,2011,3,226,381,171.73,ATLCLT,1481.41
8,2011,4,226,370,165.83,ATLCLT,1481.41
9,2012,1,226,399,176.71,ATLCLT,1481.41
10,2012,2,226,438,151.17,ATLCLT,1481.41
11,2012,3,226,436,136.41,ATLCLT,1481.41
12,2012,4,226,456,133.28,ATLCLT,1481.41
13,2013,1,226,486,132.64,ATLCLT,1481.41
14,2011,3,606,3080,170.34,ATLORD,3693.83
15,2011,4,606,2746,193.12,ATLORD,3693.83
16,2012,1,606,2537,174.84,ATLORD,3693.83
17,2012,2,606,3428,165.05,ATLORD,3693.83
18,2012,3,606,3170,172.4,ATLORD,3693.83
19,2012,4,606,3061,171.69,ATLORD,3693.83
20,2013,1,606,2562,173.66,ATLORD,3693.83
21,2011,3,731,2246,197.85,ATLDFW,8133.17
22,2011,4,731,2088,220.15,ATLDFW,8133.17
23,2012,1,731,2024,250.91,ATLDFW,8133.17
24,2012,2,731,2268,239.65,ATLDFW,8133.17
25,2012,3,731,2145,228.35,ATLDFW,8133.17
26,2012,4,731,2272,216.52,ATLDFW,8133.17
27,2013,1,731,2196,226.43,ATLDFW,8133.17
28,2011,3,1199,1555,175.94,ATLDEN,7305.19
29,2011,4,1199,1438,195.85,ATLDEN,7305.19
30,2012,1,1199,1402,178.55,ATLDEN,7305.19
31,2012,2,1199,1585,171.87,ATLDEN,7305.19
32,2012,3,1199,1678,160.75,ATLDEN,7305.19
33,2012,4,1199,1598,173.18,ATLDEN,7305.19
34,2013,1,1199,1587,169.3,ATLDEN,7305.19
35,2011,3,594,1252,184.39,ATLDTW,2285.96
36,2011,4,594,1123,204.87,ATLDTW,2285.96
37,2012,1,594,913,229.27,ATLDTW,2285.96
38,2012,2,594,1277,200.35,ATLDTW,2285.96
39,2012,3,594,1225,186.37,ATLDTW,2285.96
40,2012,4,594,1197,196.94,ATLDTW,2285.96
41,2013,1,594,943,211.14,ATLDTW,2285.96
42,2011,3,696,1373,203.41,ATLIAH,3210.57
43,2011,4,696,1417,211.15,ATLIAH,3210.57
44,2012,1,696,1454,204.08,ATLIAH,3210.57
45,2012,2,696,1743,192.26,ATLIAH,3210.57
46,2012,3,696,1612,176.59,ATLIAH,3210.57
47,2012,4,696,1716,174.66,ATLIAH,3210.57
48,2013,1,696,1588,185.98,ATLIAH,3210.57
49,2011,3,1747,1274,230.24,ATLLAS,15257.25
50,2011,4,1747,1274,239.82,ATLLAS,15257.25
51,2012,1,1747,1414,241.58,ATLLAS,15257.25
52,2012,2,1747,1519,234.42,ATLLAS,15257.25
53,2012,3,1747,1237,237.96,ATLLAS,15257.25
54,2012,4,1747,1236,240.79,ATLLAS,15257.25
55,2013,1,1747,1363,246.87,ATLLAS,15257.25
56,2011,3,1946,2761,250.1,ATLLAX,15655.87
57,2011,4,1947,2667,256.13,ATLLAX,15655.87
58,2012,1,1947,2339,258.51,ATLLAX,15655.87
59,2012,2,1947,2943,262.96,ATLLAX,15655.87
60,2012,3,1947,2805,251.9,ATLLAX,15655.87
61,2012,4,1947,2664,267.67,ATLLAX,15655.87
62,2013,1,1947,2346,276.97,ATLLAX,15655.87
63,2011,3,594,3115,125.48,ATLMIA,4034.89
64,2011,4,594,3335,125.31,ATLMIA,4034.89
65,2012,1,594,3154,143.94,ATLMIA,4034.89
66,2012,2,594,3461,130.12,ATLMIA,4034.89
67,2012,3,594,3039,124.34,ATLMIA,4034.89
68,2012,4,594,2898,154.4,ATLMIA,4034.89
69,2013,1,594,2875,166.15,ATLMIA,4034.89
70,2011,3,907,1272,205.98,ATLMSP,5181.17
71,2011,4,907,1121,223.22,ATLMSP,5181.17
72,2012,1,907,933,253.81,ATLMSP,5181.17
73,2012,2,907,1148,231.47,ATLMSP,5181.17
74,2012,3,907,1214,208.15,ATLMSP,5181.17
75,2012,4,907,1077,216.15,ATLMSP,5181.17
76,2013,1,907,909,243.33,ATLMSP,5181.17
77,2011,3,795,6033,205.29,ATLJFK,2409.05
78,2011,3,795,6033,205.29,ATLLGA,9760.01
79,2011,3,795,6033,205.29,ATLEWR,3795.96
80,2011,4,795,5891,220.43,ATLJFK,2409.05
81,2011,4,795,5891,220.43,ATLLGA,9760.01
82,2011,4,795,5891,220.43,ATLEWR,3795.96
83,2012,1,795,5016,224.2,ATLJFK,2409.05
84,2012,1,795,5016,224.2,ATLLGA,9760.01
85,2012,1,795,5016,224.2,ATLEWR,3795.96
86,2012,2,795,6590,204.27,ATLJFK,2409.05
87,2012,2,795,6590,204.27,ATLLGA,9760.01
88,2012,2,795,6590,204.27,ATLEWR,3795.96
89,2012,3,795,6702,184.52,ATLJFK,2409.05
90,2012,3,795,6702,184.52,ATLLGA,9760.01
91,2012,3,795,6702,184.52,ATLEWR,3795.96
92,2012,4,795,6536,194.28,ATLJFK,2409.05
93,2012,4,795,6536,194.28,ATLLGA,9760.01
94,2012,4,795,6536,194.28,ATLEWR,3795.96
95,2013,1,795,5447,197.2,ATLJFK,2409.05
96,2013,1,795,5447,197.2,ATLLGA,9760.01
97,2013,1,795,5447,197.2,ATLEWR,3795.96
98,2011,3,404,1306,160.58,ATLMCO,3770.13
99,2011,4,404,1368,167.32,ATLMCO,3770.13
100,2012,1,404,1488,186.2,ATLMCO,3770.13
101,2012,2,404,1554,154.71,ATLMCO,3770.13
102,2012,3,404,1365,142.11,ATLMCO,3770.13
103,2012,4,404,1622,147.71,ATLMCO,3770.13
104,2013,1,404,1687,157.68,ATLMCO,3770.13
105,2011,3,666,2066,174.92,ATLPHL,3609.92
106,2011,4,666,1876,191.17,ATLPHL,3609.92
107,2012,1,666,1564,209.58,ATLPHL,3609.92
108,2012,2,666,2014,182.78,ATLPHL,3609.92
109,2012,3,666,1959,170.34,ATLPHL,3609.92
110,2012,4,666,1838,186.63,ATLPHL,3609.92
111,2013,1,666,1471,206.53,ATLPHL,3609.92
112,2011,3,1587,863,190.23,ATLPHX,9150.03
113,2011,4,1587,973,215.89,ATLPHX,9150.03
114,2012,1,1587,935,221.41,ATLPHX,9150.03
115,2012,2,1587,1055,205.58,ATLPHX,9150.03
116,2012,3,1587,842,193.78,ATLPHX,9150.03
117,2012,4,1587,1025,216.89,ATLPHX,9150.03
118,2013,1,1587,901,235.26,ATLPHX,9150.03
119,2011,3,2139,1677,275.6,ATLSFO,17638.23
120,2011,4,2139,1581,286.55,ATLSFO,17638.23
121,2012,1,2139,1313,289.93,ATLSFO,17638.23
122,2012,2,2139,1674,301.21,ATLSFO,17638.23
123,2012,3,2139,1767,276.76,ATLSFO,17638.23
124,2012,4,2139,1831,271.31,ATLSFO,17638.23
125,2013,1,2139,1427,295.07,ATLSFO,17638.23
126,2011,3,2182,1136,261.18,ATLSEA,10956.95
127,2011,4,2182,804,282.92,ATLSEA,10956.95
128,2012,1,2182,626,310.19,ATLSEA,10956.95
129,2012,2,2182,1030,276.3,ATLSEA,10956.95
130,2012,3,2182,1169,273.22,ATLSEA,10956.95
131,2012,4,2182,846,291.29,ATLSEA,10956.95
132,2013,1,2182,701,294.75,ATLSEA,10956.95
133,2011,3,737,1701,146.93,BOSCLT,4329.68
134,2011,4,737,1538,150.42,BOSCLT,4329.68
135,2012,1,737,1141,151.39,BOSCLT,4329.68
136,2012,2,737,1703,167.08,BOSCLT,4329.68
137,2012,3,737,1707,159.3,BOSCLT,4329.68
138,2012,4,737,1578,151.78,BOSCLT,4329.68
139,2013,1,737,1301,144.84,BOSCLT,4329.68
140,2011,3,867,4534,176.17,BOSORD,8513.02
141,2011,4,867,4159,172.83,BOSORD,8513.02
142,2012,1,867,3040,156.69,BOSORD,8513.02
143,2012,2,867,4670,175.88,BOSORD,8513.02
144,2012,3,867,4944,175.13,BOSORD,8513.02
145,2012,4,867,4158,186.19,BOSORD,8513.02
146,2013,1,867,3030,168.48,BOSORD,8513.02
147,2011,3,1562,1569,297.3,BOSDFW,11139.04
148,2011,4,1562,1340,319.36,BOSDFW,11139.04
149,2012,1,1562,1103,356.81,BOSDFW,11139.04
150,2012,2,1562,1790,262.52,BOSDFW,11139.04
151,2012,3,1562,1891,231.68,BOSDFW,11139.04
152,2012,4,1562,1680,219.26,BOSDFW,11139.04
153,2013,1,1562,1413,229.88,BOSDFW,11139.04
154,2011,3,1754,1978,233.35,BOSDEN,9102.49
155,2011,4,1754,1582,211.57,BOSDEN,9102.49
156,2012,1,1754,1390,198.34,BOSDEN,9102.49
157,2012,2,1754,1826,223.31,BOSDEN,9102.49
158,2012,3,1754,2124,231.54,BOSDEN,9102.49
159,2012,4,1754,1570,231.99,BOSDEN,9102.49
160,2013,1,1754,1382,230.13,BOSDEN,9102.49
161,2011,3,632,978,271.24,BOSDTW,2239.42
162,2011,4,632,940,260.29,BOSDTW,2239.42
163,2012,1,632,708,274.63,BOSDTW,2239.42
164,2012,2,632,922,304.17,BOSDTW,2239.42
165,2012,3,632,982,275.07,BOSDTW,2239.42
166,2012,4,632,928,283.1,BOSDTW,2239.42
167,2013,1,632,660,309.13,BOSDTW,2239.42
168,2011,3,1609,1115,278.94,BOSIAH,7464.39
169,2011,4,1609,942,288.48,BOSIAH,7464.39
