,Date,AirPort,Mean TemperatureC,MeanDew PointC,Mean Humidity,Mean Sea Level PressurehPa,Mean VisibilityKm,Mean Wind SpeedKm/h,CloudCover,Rank_2018,State,2018_freq,city,lat,lng,population,density,Fuel_price,Holiday,Month,Year,Quarter,LOAD_FACTOR,Year_route,Quarter_route,daily_passengers,average_fare,ROUTE,AIR_TIME_MEAN
0,2011-09-01,ATL,29,18,56,1019,16,6,3,1 ,GA,51866464,Atlanta,33.7627,-84.4225,5228750.0,1384.0,3.088,0,9,2011,3,81.82,2011.0,3.0,2335.0,208.31,ATLBOS,6002.21
1,2011-09-01,ORD,28,22,70,1013,15,9,1,3 ,IL,39874879,Chicago,41.8373,-87.6862,8675982.0,4612.0,3.088,0,9,2011,3,81.82,2011.0,4.0,2117.0,227.89,ATLBOS,6002.21
2,2011-09-01,LAX,18,14,76,1011,11,13,5,2 ,CA,42626783,Los Angeles,34.1139,-118.4068,12815475.0,3295.0,3.088,0,9,2011,3,81.82,2012.0,1.0,1704.0,235.04,ATLBOS,6002.21
3,2011-09-01,DFW,33,14,35,1013,16,14,1,4 ,TX,32800721,Dallas,32.7936,-96.7662,5733259.0,1524.0,3.088,0,9,2011,3,81.82,2012.0,2.0,2335.0,226.73,ATLBOS,6002.21
4,2011-09-01,DEN,28,3,22,1007,16,15,5,5 ,CO,31363573,Denver,39.7621,-104.8759,2787266.0,1774.0,3.088,0,9,2011,3,81.82,2012.0,3.0,2437.0,196.87,ATLBOS,6002.21
5,2011-09-01,JFK,23,16,65,1022,16,9,5,6 ,NY,30541459,New York,40.6943,-73.9249,19354922.0,11083.0,3.088,0,9,2011,3,81.82,2012.0,4.0,2255.0,203.29,ATLBOS,6002.21
6,2011-09-01,SFO,17,11,69,1010,16,15,3,7 ,CA,27794154,San Francisco,37.7562,-122.443,3603761.0,7286.0,3.088,0,9,2011,3,81.82,2013.0,1.0,1784.0,212.29,ATLBOS,6002.21
7,2011-09-01,CLT,26,18,66,1020,16,5,2,12 ,NC,22283574,Charlotte,35.2079,-80.8304,1467362.0,1081.0,3.088,0,9,2011,3,81.82,2011.0,3.0,381.0,171.73,ATLCLT,1481.41
8,2011-09-01,LAS,33,-16,4,1005,16,24,0,9 ,NV,23655285,Las Vegas,36.2333,-115.2654,2073045.0,1747.0,3.088,0,9,2011,3,81.82,2011.0,4.0,370.0,165.83,ATLCLT,1481.41
9,2011-09-01,PHX,38,10,23,1004,16,11,3,13 ,AZ,21623842,Phoenix,33.5722,-112.0891,4081849.0,1212.0,3.088,0,9,2011,3,81.82,2012.0,1.0,399.0,176.71,ATLCLT,1481.41
10,2011-09-01,IAH,31,22,61,1013,16,10,2,14 ,TX,21157948,Houston,29.7869,-95.3905,5446468.0,1401.0,3.088,0,9,2011,3,81.82,2012.0,2.0,438.0,151.17,ATLCLT,1481.41
11,2011-09-01,MIA,29,24,83,1016,16,6,6,15 ,FL,21025210,Miami,25.7839,-80.2102,6381966.0,4969.0,3.088,0,9,2011,3,81.82,2012.0,3.0,436.0,136.41,ATLCLT,1481.41
12,2011-09-01,MCO,28,24,80,1017,16,6,5,10 ,FL,23184634,Orlando,28.4772,-81.3369,1776841.0,982.0,3.088,0,9,2011,3,81.82,2012.0,4.0,456.0,133.28,ATLCLT,1481.41
13,2011-09-01,EWR,24,15,60,1021,16,7,4,11 ,NJ,22798354,Newark,40.7245,-74.1725,285154.0,4560.0,3.088,0,9,2011,3,81.82,2013.0,1.0,486.0,132.64,ATLCLT,1481.41
14,2011-09-01,SEA,17,9,64,1022,15,10,4,8 ,WA,24894338,Seattle,47.6211,-122.3244,3643765.0,3336.0,3.088,0,9,2011,3,81.82,2011.0,3.0,3080.0,170.34,ATLORD,3693.83
15,2011-09-01,MSP,28,21,70,1007,13,14,2,17 ,MN,18363493,Minneapolis,44.9635,-93.2678,2926757.0,3019.0,3.088,0,9,2011,3,81.82,2011.0,4.0,2746.0,193.12,ATLORD,3693.83
16,2011-09-01,DTW,28,20,64,1015,11,6,3,19 ,MI,17437716,Detroit,42.3834,-83.1024,3522206.0,1873.0,3.088,0,9,2011,3,81.82,2012.0,1.0,2537.0,174.84,ATLORD,3693.83
17,2011-09-01,PHL,23,15,68,1021,16,4,4,20 ,PA,15285948,Philadelphia,40.0077,-75.1339,5637884.0,4547.0,3.088,0,9,2011,3,81.82,2012.0,2.0,3428.0,165.05,ATLORD,3693.83
18,2011-09-01,BOS,19,14,72,1023,16,11,4,16 ,MA,20010262,Boston,42.3188,-71.0846,4637537.0,5472.0,3.088,0,9,2011,3,81.82,2012.0,3.0,3170.0,172.4,ATLORD,3693.83
19,2011-09-01,LGA,24,13,51,1021,16,11,4,21 ,NY,15059648,New York,40.6943,-73.9249,19354922.0,11083.0,3.088,0,9,2011,3,81.82,2012.0,4.0,3061.0,171.69,ATLORD,3693.83
20,2011-09-02,ATL,29,15,46,1016,16,7,2,1 ,GA,51866464,Atlanta,33.7627,-84.4225,5228750.0,1384.0,3.0380000000000003,0,9,2011,3,81.82,2013.0,1.0,2562.0,173.66,ATLORD,3693.83
21,2011-09-02,ORD,29,21,64,1012,15,12,4,3 ,IL,39874879,Chicago,41.8373,-87.6862,8675982.0,4612.0,3.0380000000000003,0,9,2011,3,81.82,2011.0,3.0,2246.0,197.85,ATLDFW,8133.17
22,2011-09-02,LAX,17,13,83,1012,10,14,6,2 ,CA,42626783,Los Angeles,34.1139,-118.4068,12815475.0,3295.0,3.0380000000000003,0,9,2011,3,81.82,2011.0,4.0,2088.0,220.15,ATLDFW,8133.17
23,2011-09-02,DFW,33,18,45,1011,16,15,2,4 ,TX,32800721,Dallas,32.7936,-96.7662,5733259.0,1524.0,3.0380000000000003,0,9,2011,3,81.82,2012.0,1.0,2024.0,250.91,ATLDFW,8133.17
24,2011-09-02,DEN,22,11,55,1015,14,15,6,5 ,CO,31363573,Denver,39.7621,-104.8759,2787266.0,1774.0,3.0380000000000003,0,9,2011,3,81.82,2012.0,2.0,2268.0,239.65,ATLDFW,8133.17
25,2011-09-02,JFK,21,15,69,1020,16,10,2,6 ,NY,30541459,New York,40.6943,-73.9249,19354922.0,11083.0,3.0380000000000003,0,9,2011,3,81.82,2012.0,3.0,2145.0,228.35,ATLDFW,8133.17
